caract0,caract1,caract2,caract3,caract4,caract5,caract6,caract7,caract8,caract9,caract10,caract11,caract12,caract13,caract14,caract15,caract16,caract17,caract18,caract19,caract20,caract21,caract22,caract23,caract24,caract25,caract26,caract27,caract28,caract29,caract30,caract31,caract32,caract33,caract34,caract35,caract36,caract37,caract38,caract39,caract40,nombre_imagen
3.0,5.0,3.0,5.0,4.0,4.0,1.0,1.0,9.0,9.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,2.0,2.0,9.0,1.0,1.0,1.0,9.0,0.0,9.0,0.005482628483315089,2.6279509175427174e-05,2.0725747462954207e-08,1.993348458417095e-08,4.0515343319239264e-16,1.0211265867339303e-10,2.805875958928007e-18,17861.0,780.0,26.0,168.0
3.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,9.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,0.0015748806490565863,1.0365115347096758e-06,1.5306111549370492e-11,3.4061769708529593e-12,2.3604057165468357e-23,2.392762890348269e-15,-6.908305780613088e-24,109575.0,1424.0,243.0,112.0
3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.001431086735990556,5.7960777505559314e-08,6.306701658438317e-13,6.426305391906403e-12,8.387301892348734e-24,-1.5349645010387838e-15,-9.850205063755725e-24,99360.0,1266.0,172.0,144.0
1.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,9.0,0.0,4.0,5.0,1.0,0.001755761628262905,3.697907619925653e-07,1.6882064373968768e-10,2.540021967508014e-12,-3.709568908721475e-23,-8.496558975915218e-16,-3.7288823041994955e-23,62212.0,1016.0,103.0,151.0
3.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,9.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,0.004616464982675191,1.791288087977384e-05,4.7757244450636755e-09,4.3821945927884996e-09,2.0045713515324292e-17,1.851612415247299e-11,2.5667304922662227e-19,17325.0,740.0,27.0,157.0
0.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,9.0,2.0,2.0,2.0,1.0,1.0,9.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,0.0014036095835772886,1.016954317386483e-08,7.866317043564053e-12,9.414081370227608e-12,-6.277830440537762e-23,1.563997471230167e-16,-5.1204766368213865e-23,103950.0,1290.0,165.0,157.0
3.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,9.0,9.0,9.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,0.001375318880633478,1.1922942325993957e-08,4.759757256783988e-12,7.032977896024064e-12,3.830135179622421e-23,-6.1518805879495935e-16,1.373994840351079e-23,106420.0,1306.0,170.0,156.0
0.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,9.0,3.0,3.0,4.0,5.0,0.0,5.0,9.0,9.0,1.0,9.0,5.0,3.0,0.006125091538583846,3.3141221602434956e-05,6.720976127168431e-08,6.59311790976968e-08,4.3888248332517266e-15,3.795549879882417e-10,1.9285054202749847e-17,20520.0,834.0,28.0,180.0
1.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,0.006173182044189622,2.387420930428921e-05,2.954642761498307e-09,5.433706158641049e-10,4.762925129786213e-19,1.7465940075868962e-12,-4.971538053621706e-19,12998.0,522.0,33.0,97.0
3.0,5.0,5.0,0.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0015293614890185437,8.190395839305843e-07,1.3438096433467967e-11,1.5410506129785928e-12,6.505163802955229e-24,1.0473898470074412e-15,-2.6197016463276273e-24,72944.0,1140.0,188.0,97.0
3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,9.0,9.0,1.0,5.0,5.0,5.0,5.0,0.001518248477609059,8.138592529094093e-07,1.2536089159002432e-11,1.8011542005741343e-12,8.256152509744478e-24,1.29790277079509e-15,-2.255470718053475e-24,84032.0,1224.0,202.0,104.0
3.0,5.0,4.0,3.0,5.0,3.0,1.0,9.0,9.0,2.0,1.0,9.0,9.0,0.0,9.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,0.0015797302656065952,1.051341127781547e-06,1.8947991140874222e-11,2.5096175044712854e-12,1.2189411761048521e-23,6.507222392025999e-16,-1.2284568421855667e-23,115416.0,1466.0,252.0,114.0
3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,0.0017958136636117429,1.7053774541638172e-06,3.552016960951508e-11,1.4200412910978232e-11,3.157624925025678e-22,1.6064389650760964e-14,-4.4803974692420495e-23,70056.0,1170.0,208.0,84.0
3.0,4.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,9.0,9.0,1.0,5.0,1.0,4.0,5.0,3.0,0.0,9.0,3.0,5.0,4.0,4.0,4.0,0.0020367061284350106,2.8323738620468024e-08,2.5676601952000667e-10,1.449505368022856e-10,2.6371943648725718e-20,1.3108844111392856e-14,9.30070350255108e-21,137157.0,1484.0,196.0,174.0
3.0,4.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,9.0,9.0,5.0,4.0,0.0,1.0,3.0,4.0,5.0,0.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,9.0,0.0036407941982144892,3.2369737940160412e-06,8.82841657704891e-10,3.76606062602415e-12,-8.91972217100003e-23,-6.7678288578206814e-15,-1.9799166739170183e-22,39525.0,820.0,77.0,127.0
3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,0.0,9.0,9.0,9.0,1.0,1.0,9.0,2.0,3.0,1.0,3.0,9.0,1.0,9.0,9.0,1.0,9.0,0.002091794182736951,8.862818166321985e-07,5.697515749273741e-10,5.4617035745786895e-11,-9.535440812602004e-21,1.154511118008464e-14,1.3789225255603858e-21,126695.0,1460.8284270763397,221.0,142.0
1.0,5.0,4.0,3.0,3.0,3.0,0.0,3.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,0.002048493759459064,8.153101956441816e-07,5.451516705972791e-10,6.317152805726662e-11,-1.0844787132584193e-20,2.1959053756293488e-14,4.452030479026848e-21,133789.0,1498.8284270763397,225.0,147.0
1.0,5.0,3.0,9.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,0.0021305067970150905,1.0444620158272053e-06,4.520893694620797e-10,1.7445339301219705e-10,-1.900010132540021e-20,1.3668774507879223e-13,4.5158385099531945e-20,156857.0,1634.8284270763397,252.0,154.0
1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,0.002813599514333165,2.9273362426016566e-07,6.16006065778979e-10,1.9175030201020777e-09,1.6174179926587137e-18,9.784571528709022e-13,-1.3141508017922865e-18,106856.0,1314.0,148.0,180.0
0.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,5.0,5.0,0.0029988159004469164,1.243583161755046e-06,1.4465978894389274e-09,2.255929286408746e-09,3.261090069718193e-18,2.19853039099675e-12,-2.4440861011755197e-18,107976.0,1346.0,132.0,204.0
1.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,9.0,0.0,2.0,2.0,5.0,3.0,0.0,9.0,9.0,3.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,0.0021504827458378845,1.428273547733358e-07,7.470209802290773e-11,3.222605175238928e-10,5.191771241109057e-21,6.851864307926146e-14,4.9730540193585704e-20,198712.0,1786.0,236.0,210.0
2.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,9.0,1.0,9.0,1.0,1.0,1.0,9.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,0.0023186302294570726,1.129513026134869e-07,1.2319439986332978e-11,5.40988213200622e-10,3.9549353144149256e-20,7.24269599918868e-14,1.96567160225592e-20,169422.0,1654.0,187.0,226.0
1.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,9.0,1.0,2.0,1.0,1.0,9.0,9.0,0.0,2.0,2.0,3.0,3.0,2.0,0.002036328808280189,5.930918872274297e-07,2.8729329262092686e-10,2.597730691345836e-10,7.010450100703441e-20,1.9993012246282359e-13,1.1027950636105815e-20,165834.0,1662.0,249.0,166.0
0.0,1.0,9.0,9.0,2.0,3.0,5.0,4.0,4.0,1.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,9.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,0.002200726439640644,1.1130746105126618e-06,1.3898208612330665e-10,3.336967395944317e-10,7.101099238991074e-20,3.4907190686124395e-13,-1.1035290919376712e-20,107925.0,1364.8284270763397,215.0,125.0
0.0,1.0,1.0,2.0,9.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,2.0,2.0,2.0,1.0,9.0,9.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0027373225576223653,4.310262445805974e-06,5.496465312826999e-10,3.528519406930674e-10,1.5538403991472457e-19,7.316757251767537e-13,-1.6370950054786554e-21,90442.0,1380.8284270763397,255.0,88.0
3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,0.0,5.0,3.0,1.0,9.0,1.0,1.0,3.0,9.0,2.0,1.0,9.0,3.0,5.0,3.0,2.0,2.0,3.0,0.0033214073766766688,8.401219345945197e-06,1.6263487261855666e-09,1.7652796796037629e-09,2.991033023623556e-18,5.1115508828458825e-12,1.560668015166957e-20,17829.0,692.0,141.0,31.0
3.0,2.0,3.0,9.0,9.0,1.0,5.0,1.0,4.0,5.0,3.0,0.0,9.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,0.005545280052938003,1.5353729174844037e-05,5.166581716010618e-09,5.810064044587521e-09,3.183023522656992e-17,2.2522259231316223e-11,-3.934916526818902e-19,11130.0,458.0,79.0,35.0
1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,0.0,5.0,3.0,1.0,9.0,1.0,1.0,3.0,9.0,2.0,1.0,9.0,3.0,5.0,0.005443823527003481,2.703133116771576e-05,7.975028181162501e-09,7.809441963661707e-09,6.163036642433646e-17,4.0301752585709146e-11,-1.5457684376987677e-19,10260.0,642.0,142.0,18.0
3.0,4.0,4.0,3.0,9.0,9.0,9.0,5.0,0.0,1.0,5.0,3.0,3.0,4.0,5.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,2.0,0.0,9.0,9.0,9.0,3.0,9.0,2.0,0.002520619080745517,6.008545399693905e-07,2.67014588404196e-10,5.848285805195466e-10,1.8498161076797915e-19,4.4408792429140075e-13,-1.385336763631287e-19,139946.0,1506.0,209.0,167.0
3.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,9.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,3.0,3.0,0.0,5.0,0.0028347953444822155,7.321357539443094e-07,9.40694752270992e-10,5.466237864147425e-10,-1.93326445817143e-19,3.9437280661280253e-13,-3.409815589269218e-19,157439.0,1646.4264061450958,220.0,178.0
2.0,9.0,5.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,5.0,1.0,3.0,2.0,9.0,2.0,3.0,3.0,2.0,5.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,9.0,0.003337471480005503,5.2188527043780714e-08,4.911391051438452e-10,3.8635618255427215e-10,1.6767954126783434e-19,3.0667222095695383e-14,-1.4437926346915182e-20,10176.0,404.0,48.0,53.0
1.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,5.0,2.0,1.0,1.0,9.0,9.0,1.0,1.0,0.0,1.0,1.0,9.0,9.0,1.0,9.0,5.0,9.0,9.0,3.0,3.0,5.0,0.0033744371599247203,2.051075326311364e-06,1.4753314546146144e-09,6.272932855023638e-10,-7.0178335746874e-20,7.39383274870317e-13,-5.993686520954209e-19,115584.5,1389.899494767189,199.0,144.0
3.0,2.0,9.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,9.0,9.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,9.0,1.0,5.0,1.0,9.0,9.0,9.0,9.0,1.0,0.002802762161444882,6.74177291970133e-07,8.908429340845722e-10,5.346093498719283e-10,-1.9631639691909138e-19,3.726141588275872e-13,-3.1237217756998226e-19,161539.5,1667.3553384542465,222.0,181.0
3.0,3.0,5.0,3.0,3.0,3.0,2.0,9.0,2.0,2.0,2.0,1.0,5.0,2.0,0.0,2.0,5.0,2.0,1.0,2.0,9.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,0.0026264382274983388,4.406816576674535e-07,4.088652928946423e-09,1.1487613449084433e-09,-2.2407250657074096e-18,-4.2956098307673195e-13,-1.0850851157930881e-18,96116.0,1250.8284270763397,138.0,173.0
